"Group","","#","Mnemonic","Flag Set","O1","O2","O3","O4","","opcode_name","","t_O1","","t_O2","","t_O3","","t_O4","","FT","FO","swz","c_F","s_O1","s_O2","s_O3","s_O4","Chk","enc","","","","","","","","","","","","","","","","","",""
"Special/Debug","","0","NOP","","","","","","Do nothing, fast!","NOP","1","","0","","0","","0","","0","","","1234","0","0","0","0","0","0","NONE","","","","","","","","","","","","","","","","","",""
"","","1","HALT","","","","","","Halt","HALT","1","","0","","0","","0","","0","","","1234","0","0","0","0","0","0","NONE","","","","","","","","","","","","","","","","","",""
"","","2","BRK","","","","","","Breakpoint","BRK","1","","0","","0","","0","","0","","","1234","0","0","0","0","0","0","NONE","","","","","","","","","","","","","","","","","",""
"","","3","SVC","","r_dst","idx","n_args","","Supervisor call
Only allowed when in ""privileged mode""","SVC","1","Reg","6","U12","12","U6","6","","0","","","132","0","6","6","12","","24","B6_B6_B12","","","","","","","","","","","","","","","","","",""
"","","4","DUMP","","spec","","","","Dump debug output
`spec` encodes what is to be output; assembler
includes builtin functions for generating spec field.","DUMP","1","U24","24","","0","","0","","0","","","1234","0","24","0","0","0","24","B24","","","","","","","","","","","","","","","","","",""
"","","5","PRINT","","idx","r1","r2","","Print the given entry from the debug string table. R1, R2 are optional values for inclusion via format strings. If unused, assembler sets them to 0x3F.","PRINT","1","U12","12","Reg","6","Reg","6","","0","","","231","0","6","6","12","","24","B6_B6_B12","","","","","","","","","","","","","","","","","",""
"MOV reg/reg","","6","MOV","NULL2","r_dst","r_src","","","Reg[Rd] = Reg[Rs]","MOV","1","Reg","6","Reg","6","","0","","0","","","1234","2","6","6","0","0","14","F2_B6_B6","","","","","","","","","","","","","","","","","",""
"","","7","MOV","NULL2","r_dst","r_src","r_off","","Reg[Rd] = Reg[Rs + Reg[Ro]]","MOV_DO","1","Reg","6","Reg","6","Reg","6","","0","","","1234","2","6","6","6","0","20","F2_B6_B6_B6","","","","","","","","","","","","","","","","","",""
"","","8","MOV","","r_dst","imm","","","Reg[Rd] = Imm (with sign extension)","MOV_I","1","Reg","6","S18","18","","0","","0","","","1234","0","6","18","0","0","24","B6_B18","","","","","","","","","","","","","","","","","",""
"","","9","MOVA","","r_dst","imm","","","Reg[Rd] = Imm
Intended for loading a literal address in to a register","MOVA","1","Reg","6","U18","18","","0","","0","Abs","2","1234","0","6","18","0","0","24","B6_B18","","","","","","","","","","","","","","","","","",""
"","","10","MOVL","","r_dst","imm","","","LO(Reg[Rd]) = Imm","MOVL","1","Reg","6","U16","16","","0","","0","","","1234","0","6","16","0","0","22","B6_B16","","","","","","","","","","","","","","","","","",""
"","","11","MOVH","","r_dst","imm","","","HI(Reg[Rd]) = Imm","MOVH","1","Reg","6","U16","16","","0","","0","","","1234","0","6","16","0","0","22","B6_B16","","","","","","","","","","","","","","","","","",""
"","","12","SWP","NULL2","r1","r2","","","Swap Reg[R1] and Reg[R2]","SWP_REG","1","Reg","6","Reg","6","","0","","0","","","1234","2","6","6","0","0","14","F2_B6_B6","","","","","","","","","","","","","","","","","",""
"Maths","","13","ADD","NULL2","r_dst","r1","r2","","Reg[Rd] = Reg[R1] + Reg[R2]","ADD","1","Reg","6","Reg","6","Reg","6","","0","","","1234","2","6","6","6","0","20","F2_B6_B6_B6","","","","","","","","","","","","","","","","","",""
"","","14","SUB","NULL2","r_dst","r1","r2","","Reg[Rd] = Reg[R1] - Reg[R2]","SUB","1","Reg","6","Reg","6","Reg","6","","0","","","1234","2","6","6","6","0","20","F2_B6_B6_B6","","","","","","","","","","","","","","","","","",""
"","","15","MUL","NULL2","r_dst","r1","r2","","Reg[Rd] = Reg[R1] * Reg[R2]","MUL","1","Reg","6","Reg","6","Reg","6","","0","","","1234","2","6","6","6","0","20","F2_B6_B6_B6","","","","","","","","","","","","","","","","","",""
"","","16","DIV","NULL2","r_dst","r1","r2","","Reg[Rd] = Reg[R1] / Reg[R2]","DIV","1","Reg","6","Reg","6","Reg","6","","0","","","1234","2","6","6","6","0","20","F2_B6_B6_B6","","","","","","","","","","","","","","","","","",""
"","","17","MOD","NULL2","r_dst","r1","r2","","Reg[Rd] = Reg[R1] % Reg[R2]","MOD","1","Reg","6","Reg","6","Reg","6","","0","","","1234","2","6","6","6","0","20","F2_B6_B6_B6","","","","","","","","","","","","","","","","","",""
"","","18","DIVMOD","","r_dst_div","r_dst_mod","r1","r2","Reg[Rd1] = Reg[R1] / Reg[R2], Reg[Rd2] = Reg[R1] % Reg[R2]","DIVMOD","1","Reg","6","Reg","6","Reg","6","Reg","6","","","1234","0","6","6","6","6","24","B6_B6_B6_B6","","","","","","","","","","","","","","","","","",""
"","","19","MIN","NULL2","r_dst","r1","r2","","Reg[Rd] = MIN(Reg[R1], Reg[R2])","MIN","1","Reg","6","Reg","6","Reg","6","","0","","","1234","2","6","6","6","0","20","F2_B6_B6_B6","","","","","","","","","","","","","","","","","",""
"","","20","MAX","NULL2","r_dst","r1","r2","","Reg[Rd] = MAX(Reg[R1], Reg[R2])","MAX","1","Reg","6","Reg","6","Reg","6","","0","","","1234","2","6","6","6","0","20","F2_B6_B6_B6","","","","","","","","","","","","","","","","","",""
"","","21","MULU","NULL2","r_dst","r1","r2","","Reg[Rd] = Reg[R1] * Reg[R2] (unsigned)","MULU","1","Reg","6","Reg","6","Reg","6","","0","","","1234","2","6","6","6","0","20","F2_B6_B6_B6","","","","","","","","","","","","","","","","","",""
"","","22","DIVU","NULL2","r_dst","r1","r2","","Reg[Rd] = Reg[R1] / Reg[R2] (unsigned)","DIVU","1","Reg","6","Reg","6","Reg","6","","0","","","1234","2","6","6","6","0","20","F2_B6_B6_B6","","","","","","","","","","","","","","","","","",""
"","","23","MODU","NULL2","r_dst","r1","r2","","Reg[Rd] = Reg[R1] % Reg[R2] (unsigned)","MODU","1","Reg","6","Reg","6","Reg","6","","0","","","1234","2","6","6","6","0","20","F2_B6_B6_B6","","","","","","","","","","","","","","","","","",""
"","","24","DIVMODU","","r_dst_div","r_dst_mod","r1","r2","Reg[Rd1] = Reg[R1] / Reg[R2], Reg[Rd2] = Reg[R1] % Reg[R2] (unsigned)","DIVMODU","1","Reg","6","Reg","6","Reg","6","Reg","6","","","1234","0","6","6","6","6","24","B6_B6_B6_B6","","","","","","","","","","","","","","","","","",""
"","","25","MINU","NULL2","r_dst","r1","r2","","Reg[Rd] = MIN(Reg[R1], Reg[R2]) (unsigned)","MINU","1","Reg","6","Reg","6","Reg","6","","0","","","1234","2","6","6","6","0","20","F2_B6_B6_B6","","","","","","","","","","","","","","","","","",""
"","","26","MAXU","NULL2","r_dst","r1","r2","","Reg[Rd] = MAX(Reg[R1], Reg[R2]) (unsigned)","MAXU","1","Reg","6","Reg","6","Reg","6","","0","","","1234","2","6","6","6","0","20","F2_B6_B6_B6","","","","","","","","","","","","","","","","","",""
"","","27","ABS","NULL2","r_dst","r1","","","Reg[Rd] = ABS(Reg[R1])","ABS","1","Reg","6","Reg","6","","0","","0","","","1234","2","6","6","0","0","14","F2_B6_B6","","","","","","","","","","","","","","","","","",""
"","","28","NEG","NULL2","r_dst","r1","","","Reg[Rd] = -Reg[R1]","NEG","1","Reg","6","Reg","6","","0","","0","","","1234","2","6","6","0","0","14","F2_B6_B6","","","","","","","","","","","","","","","","","",""
"","","29","SIGN","NULL2","r_dst","r1","","","Reg[Rd] = SIGN(Reg[R1])","SIGN","1","Reg","6","Reg","6","","0","","0","","","1234","2","6","6","0","0","14","F2_B6_B6","","","","","","","","","","","","","","","","","",""
"","","30","ADD","","r_dst","r1","imm","","Reg[Rd] = Reg[R1] + Imm","ADD_I","1","Reg","6","Reg","6","S12","12","","0","","","1234","0","6","6","12","0","24","B6_B6_B12","","","","","","","","","","","","","","","","","",""
"","","31","SUB","","r_dst","r1","imm","","Reg[Rd] = Reg[R1] - Imm","SUB_I","1","Reg","6","Reg","6","S12","12","","0","","","1234","0","6","6","12","0","24","B6_B6_B12","","","","","","","","","","","","","","","","","",""
"","","32","MUL","","r_dst","r1","imm","","Reg[Rd] = Reg[R1] * Imm","MUL_I","1","Reg","6","Reg","6","S12","12","","0","","","1234","0","6","6","12","0","24","B6_B6_B12","","","","","","","","","","","","","","","","","",""
"","","33","DIV","","r_dst","r1","imm","","Reg[Rd] = Reg[R1] / Imm","DIV_I","1","Reg","6","Reg","6","S12","12","","0","","","1234","0","6","6","12","0","24","B6_B6_B12","","","","","","","","","","","","","","","","","",""
"","","34","MOD","","r_dst","r1","imm","","Reg[Rd] = Reg[R1] % Imm","MOD_I","1","Reg","6","Reg","6","S12","12","","0","","","1234","0","6","6","12","0","24","B6_B6_B12","","","","","","","","","","","","","","","","","",""
"","","35","MIN","","r_dst","r1","imm","","Reg[Rd] = MIN(Reg[R1], Imm)","MIN_I","1","Reg","6","Reg","6","S12","12","","0","","","1234","0","6","6","12","0","24","B6_B6_B12","","","","","","","","","","","","","","","","","",""
"","","36","MAX","","r_dst","r1","imm","","Reg[Rd] = MAX(Reg[R1], Imm)","MAX_I","1","Reg","6","Reg","6","S12","12","","0","","","1234","0","6","6","12","0","24","B6_B6_B12","","","","","","","","","","","","","","","","","",""
"","","37","MULU","","r_dst","r1","imm","","Reg[Rd] = Reg[R1] * Imm (unsigned)","MULU_I","1","Reg","6","Reg","6","U12","12","","0","","","1234","0","6","6","12","0","24","B6_B6_B12","","","","","","","","","","","","","","","","","",""
"","","38","DIVU","","r_dst","r1","imm","","Reg[Rd] = Reg[R1] / Imm (unsigned)","DIVU_I","1","Reg","6","Reg","6","U12","12","","0","","","1234","0","6","6","12","0","24","B6_B6_B12","","","","","","","","","","","","","","","","","",""
"","","39","MODU","","r_dst","r1","imm","","Reg[Rd] = Reg[R1] % Imm (unsigned)","MODU_I","1","Reg","6","Reg","6","U12","12","","0","","","1234","0","6","6","12","0","24","B6_B6_B12","","","","","","","","","","","","","","","","","",""
"","","40","MAC","NULL2","r_dst","r_val","r_scale","","Reg[Rd] += Reg[Rv] * Reg[Rs]","MAC","1","Reg","6","Reg","6","Reg","6","","0","","","1234","2","6","6","6","0","20","F2_B6_B6_B6","","","","","","","","","","","","","","","","","",""
"","","41","MAC","","r_dst","r_val","imm_scale","","Reg[Rd] += Reg[Rv] * Imm","MAC_I","1","Reg","6","Reg","6","S12","12","","0","","","1234","0","6","6","12","0","24","B6_B6_B12","","","","","","","","","","","","","","","","","",""
"Bitwise","","42","AND","NULL2","r_dst","r1","r2","","Reg[Rd] = Reg[R1] & Reg[R2]","AND","1","Reg","6","Reg","6","Reg","6","","0","","","1234","2","6","6","6","0","20","F2_B6_B6_B6","","","","","","","","","","","","","","","","","",""
"","","43","OR","NULL2","r_dst","r1","r2","","Reg[Rd] = Reg[R1] | Reg[R2]","OR","1","Reg","6","Reg","6","Reg","6","","0","","","1234","2","6","6","6","0","20","F2_B6_B6_B6","","","","","","","","","","","","","","","","","",""
"","","44","XOR","NULL2","r_dst","r1","r2","","Reg[Rd] = Reg[R1] ^ Reg[R2]","XOR","1","Reg","6","Reg","6","Reg","6","","0","","","1234","2","6","6","6","0","20","F2_B6_B6_B6","","","","","","","","","","","","","","","","","",""
"","","45","NOT","NULL2","r_dst","r1","","","Reg[Rd] = ~Reg[R1]","NOT","1","Reg","6","Reg","6","","0","","0","","","1234","2","6","6","0","0","14","F2_B6_B6","","","","","","","","","","","","","","","","","",""
"","","46","SHL","NULL2","r_dst","r1","r2","","Reg[Rd] = Reg[R1] << Reg[R2]","SHL","1","Reg","6","Reg","6","Reg","6","","0","","","1234","2","6","6","6","0","20","F2_B6_B6_B6","","","","","","","","","","","","","","","","","",""
"","","47","SHR","NULL2","r_dst","r1","r2","","Reg[Rd] = Reg[R1] >> Reg[R2]","SHR","1","Reg","6","Reg","6","Reg","6","","0","","","1234","2","6","6","6","0","20","F2_B6_B6_B6","","","","","","","","","","","","","","","","","",""
"","","48","SAR","NULL2","r_dst","r1","r2","","Reg[Rd] = Reg[R1] >>> Reg[R2]","SAR","1","Reg","6","Reg","6","Reg","6","","0","","","1234","2","6","6","6","0","20","F2_B6_B6_B6","","","","","","","","","","","","","","","","","",""
"","","49","BSET","NULL2","r_dst","r1","r2","","Reg[Rd] = Reg[R1] | (1 << Reg[R2])","BSET","1","Reg","6","Reg","6","Reg","6","","0","","","1234","2","6","6","6","0","20","F2_B6_B6_B6","","","","","","","","","","","","","","","","","",""
"","","50","BCLR","NULL2","r_dst","r1","r2","","Reg[Rd] = Reg[R1] & ~(1 << Reg[R2])","BCLR","1","Reg","6","Reg","6","Reg","6","","0","","","1234","2","6","6","6","0","20","F2_B6_B6_B6","","","","","","","","","","","","","","","","","",""
"","","51","BTOG","NULL2","r_dst","r1","r2","","Reg[Rd] = Reg[R1] ^ (1 << Reg[R2])","BTOG","1","Reg","6","Reg","6","Reg","6","","0","","","1234","2","6","6","6","0","20","F2_B6_B6_B6","","","","","","","","","","","","","","","","","",""
"","","52","BTST","NULL2","r_dst","r1","r2","","Reg[Rd] = (Reg[R1] & (1 << Reg[R2]) ? 1 : 0","BTST","1","Reg","6","Reg","6","Reg","6","","0","","","1234","2","6","6","6","0","20","F2_B6_B6_B6","","","","","","","","","","","","","","","","","",""
"","","53","AND","","r_dst","r1","imm","","Reg[Rd] = Reg[R1] & Imm","AND_I","1","Reg","6","Reg","6","B12","12","","0","","","1234","0","6","6","12","0","24","B6_B6_B12","","","","","","","","","","","","","","","","","",""
"","","54","OR","","r_dst","r1","imm","","Reg[Rd] = Reg[R1] | Imm","OR_I","1","Reg","6","Reg","6","B12","12","","0","","","1234","0","6","6","12","0","24","B6_B6_B12","","","","","","","","","","","","","","","","","",""
"","","55","XOR","","r_dst","r1","imm","","Reg[Rd] = Reg[R1] ^ Imm","XOR_I","1","Reg","6","Reg","6","B12","12","","0","","","1234","0","6","6","12","0","24","B6_B6_B12","","","","","","","","","","","","","","","","","",""
"","","56","SHL","","r_dst","r1","imm","","Reg[Rd] = Reg[R1] << Imm","SHL_I","1","Reg","6","Reg","6","U12","12","","0","","","1234","0","6","6","12","0","24","B6_B6_B12","","","","","","","","","","","","","","","","","",""
"","","57","SHR","","r_dst","r1","imm","","Reg[Rd] = Reg[R1] >> Imm","SHR_I","1","Reg","6","Reg","6","U12","12","","0","","","1234","0","6","6","12","0","24","B6_B6_B12","","","","","","","","","","","","","","","","","",""
"","","58","SAR","","r_dst","r1","imm","","Reg[Rd] = Reg[R1] >>> Imm","SAR_I","1","Reg","6","Reg","6","U12","12","","0","","","1234","0","6","6","12","0","24","B6_B6_B12","","","","","","","","","","","","","","","","","",""
"","","59","BSET","","r_dst","r1","imm","","Reg[Rd] = Reg[R1] | (1 << Imm)","BSET_I","1","Reg","6","Reg","6","U12","12","","0","","","1234","0","6","6","12","0","24","B6_B6_B12","","","","","","","","","","","","","","","","","",""
"","","60","BCLR","","r_dst","r1","imm","","Reg[Rd] = Reg[R1] & ~(1 << Imm)","BCLR_I","1","Reg","6","Reg","6","U12","12","","0","","","1234","0","6","6","12","0","24","B6_B6_B12","","","","","","","","","","","","","","","","","",""
"","","61","BTOG","","r_dst","r1","imm","","Reg[Rd] = Reg[R1] ^ (1 << Imm)","BTOG_I","1","Reg","6","Reg","6","U12","12","","0","","","1234","0","6","6","12","0","24","B6_B6_B12","","","","","","","","","","","","","","","","","",""
"","","62","BTST","","r_dst","r1","imm","","Reg[Rd] = (Reg[R1] & (1 << Imm) ? 1 : 0","BTST_I","1","Reg","6","Reg","6","U12","12","","0","","","1234","0","6","6","12","0","24","B6_B6_B12","","","","","","","","","","","","","","","","","",""
"Jumps","","63","JMP","","imm","","","","PC += Imm","JMP","1","S24","24","","0","","0","","0","Rel","1","1234","0","24","0","0","0","24","B24","","","","","","","","","","","","","","","","","",""
"","","64","JMPA","","imm","","","","PC = Imm","JMPA_I","1","U24","24","","0","","0","","0","Abs","1","1234","0","24","0","0","0","24","B24","","","","","","","","","","","","","","","","","",""
"","","65","JMPA","","r_dst","","","","PC = Reg[Rd]","JMPA","1","Reg","6","","0","","0","","0","","","1234","0","6","0","0","0","6","B6","","","","","","","","","","","","","","","","","",""
"","","66","JZ","REL_JMP","r_cmp","imm","","","IF Reg[Rc] == 0 THEN PC += Imm","JZ","1","Reg","6","S16","16","","0","","0","Rel","2","1234","2","6","16","0","0","24","F2_B6_B16","","","","","","","","","","","","","","","","","",""
"","","67","JNZ","REL_JMP","r_cmp","imm","","","IF Reg[Rc] != 0 THEN PC += Imm","JNZ","1","Reg","6","S16","16","","0","","0","Rel","2","1234","2","6","16","0","0","24","F2_B6_B16","","","","","","","","","","","","","","","","","",""
"","","68","JLTZ","REL_JMP","r_cmp","imm","","","IF Reg[Rc] < 0 THEN PC += Imm","JLTZ","1","Reg","6","S16","16","","0","","0","Rel","2","1234","2","6","16","0","0","24","F2_B6_B16","","","","","","","","","","","","","","","","","",""
"","","69","JLEZ","REL_JMP","r_cmp","imm","","","IF Reg[Rc] <= 0 THEN PC += Imm","JLEZ","1","Reg","6","S16","16","","0","","0","Rel","2","1234","2","6","16","0","0","24","F2_B6_B16","","","","","","","","","","","","","","","","","",""
"","","70","JGTZ","REL_JMP","r_cmp","imm","","","IF Reg[Rc] > 0 THEN PC += Imm","JGTZ","1","Reg","6","S16","16","","0","","0","Rel","2","1234","2","6","16","0","0","24","F2_B6_B16","","","","","","","","","","","","","","","","","",""
"","","71","JGEZ","REL_JMP","r_cmp","imm","","","IF Reg[Rc] >= 0 THEN PC += Imm","JGEZ","1","Reg","6","S16","16","","0","","0","Rel","2","1234","2","6","16","0","0","24","F2_B6_B16","","","","","","","","","","","","","","","","","",""
"","","72","JEQ","","r1","r2","imm","","IF Reg[R1] == Reg[R2] THEN PC += Imm","JEQ","1","Reg","6","Reg","6","S12","12","","0","Rel","3","1234","0","6","6","12","0","24","B6_B6_B12","","","","","","","","","","","","","","","","","",""
"","","73","JNE","","r1","r2","imm","","IF Reg[R1] != Reg[R2] THEN PC += Imm","JNE","1","Reg","6","Reg","6","S12","12","","0","Rel","3","1234","0","6","6","12","0","24","B6_B6_B12","","","","","","","","","","","","","","","","","",""
